timestamp,load_factor
2025-01-01 00:00:00,0.53072
2025-01-01 00:15:00,0.69244
2025-01-01 00:30:00,0.69823
2025-01-01 00:45:00,0.48718
2025-01-01 01:00:00,0.37047
2025-01-01 01:15:00,0.47497
2025-01-01 01:30:00,0.59052
2025-01-01 01:45:00,0.59553
2025-01-01 02:00:00,0.72740
2025-01-01 02:15:00,0.66785
2025-01-01 02:30:00,0.63635
2025-01-01 02:45:00,0.48889
2025-01-01 03:00:00,0.40053
2025-01-01 03:15:00,0.62992
2025-01-01 03:30:00,0.56797
2025-01-01 03:45:00,0.62406
2025-01-01 04:00:00,0.42661
2025-01-01 04:15:00,0.45341
2025-01-01 04:30:00,0.37940
2025-01-01 04:45:00,0.40729
2025-01-01 05:00:00,0.58734
2025-01-01 05:15:00,0.41456
2025-01-01 05:30:00,0.45145
2025-01-01 05:45:00,0.53699
2025-01-01 06:00:00,0.48665
2025-01-01 06:15:00,0.51372
2025-01-01 06:30:00,0.52938
2025-01-01 06:45:00,0.60210
2025-01-01 07:00:00,0.54590
2025-01-01 07:15:00,0.59993
2025-01-01 07:30:00,0.60068
2025-01-01 07:45:00,0.64112
2025-01-01 08:00:00,0.63872
2025-01-01 08:15:00,0.78455
2025-01-01 08:30:00,0.60684
2025-01-01 08:45:00,0.73426
2025-01-01 09:00:00,0.62197
2025-01-01 09:15:00,0.53037
2025-01-01 09:30:00,0.71836
2025-01-01 09:45:00,0.62214
2025-01-01 10:00:00,0.59660
2025-01-01 10:15:00,0.49039
2025-01-01 10:30:00,0.38496
2025-01-01 10:45:00,0.62387
2025-01-01 11:00:00,0.52993
2025-01-01 11:15:00,0.69365
2025-01-01 11:30:00,0.86001
2025-01-01 11:45:00,0.72383
2025-01-01 12:00:00,0.57668
2025-01-01 12:15:00,0.67876
2025-01-01 12:30:00,0.75254
2025-01-01 12:45:00,0.67709
2025-01-01 13:00:00,0.67949
2025-01-01 13:15:00,0.81277
2025-01-01 13:30:00,0.85287
2025-01-01 13:45:00,0.81157
2025-01-01 14:00:00,0.63947
2025-01-01 14:15:00,0.66028
2025-01-01 14:30:00,0.73276
2025-01-01 14:45:00,0.67598
2025-01-01 15:00:00,0.61540
2025-01-01 15:15:00,0.57756
2025-01-01 15:30:00,0.57634
2025-01-01 15:45:00,0.57044
2025-01-01 16:00:00,0.58871
2025-01-01 16:15:00,0.75289
2025-01-01 16:30:00,0.61363
2025-01-01 16:45:00,0.73140
2025-01-01 17:00:00,0.72326
2025-01-01 17:15:00,0.69007
2025-01-01 17:30:00,0.57902
2025-01-01 17:45:00,0.57439
2025-01-01 18:00:00,0.81284
